address_id,street_address,suburb,state,postcode,locality,subdivision_code,latitude,longitude
PO-BOX-115-Tawonga-VIC-3697,PO BOX 115,Tawonga,VIC,3697,,,0.0,0.0
58-St-Bernard-Drive-Tawonga-South-Vic-3698,58 St Bernard Drive,Tawonga South,Vic,3698,Tawonga South,Vic,-36.7342227,147.15223263
7-Hollonds-Street-Mount-Beauty-VIC-3699,7 Hollonds Street,Mount Beauty,VIC,3699,,,0.0,0.0
105-Kiewa-Valley-Highway-Tawonga-South-Vic-3698,105 Kiewa Valley Highway,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72754226,147.15048468
"Shop-2,-215-Kiewa-Valley-Highway-Tawonga-South-VIC-3698","Shop 2, 215 Kiewa Valley Highway",Tawonga South,VIC,3698,,,0.0,0.0
6-Wonnangatta-Avenue-Tawonga-South-Vic-3698,6 Wonnangatta Avenue,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73295924,147.15388589
"WR-1-West-St-Falls,-17-Bogong-High-Plains-Road-Falls-Creek-VIC-3699","WR 1 West St Falls, 17 Bogong High Plains Road",Falls Creek,VIC,3699,,,0.0,0.0
4-Myrtle-Street-Tawonga-South-Vic-3698,4 Myrtle Street,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73298005,147.15264781
7-Feathertop-Street-Tawonga-South-Vic-3698,7 Feathertop Street,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72821473,147.14999431
182A-Simmonds-Creek-Road-Tawonga-South-Vic-3698,182A Simmonds Creek Road,Tawonga South,Vic,3698,Tawonga South,Vic,-36.74983633,147.15019032
70-St-Bernard-Drive-Tawonga-South-Vic-3698,70 St Bernard Drive,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73420392,147.1511084
14-Buckland-Street-Tawonga-South-Vic-3698,14 Buckland Street,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72757345,147.14696481
7-Reid-Court-Tawonga-South-Vic-3698,7 Reid Court,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72672156,147.1476116
36-Young-Crescent-Tawonga-South-Vic-3698,36 Young Crescent,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73196671,147.1521245
31-Simmonds-Creek-Road-Tawonga-South-Vic-3698,31 Simmonds Creek Road,Tawonga South,Vic,3698,Tawonga South,Vic,-36.74235895,147.16127814
39-41-Kiewa-Valley-Highway-Tawonga-South-Vic-3698,39-41 Kiewa Valley Highway,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72190188,147.1477587
12-Myrtle-Street-Tawonga-South-Vic-3698,12 Myrtle Street,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73259325,147.15216841
5-Omeo-Court-Tawonga-South-Vic-3698,5 Omeo Court,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73353845,147.1519371
260-262-Kiewa-Valley-Highway-Tawonga-South-Vic-3698,260-262 Kiewa Valley Highway,Tawonga South,Vic,3698,Tawonga South,Vic,-36.7389679,147.16220745
9-Simmonds-Creek-Road-Tawonga-South-Vic-3698,9 Simmonds Creek Road,Tawonga South,Vic,3698,Tawonga South,Vic,-36.74016814,147.16151869
45-Kiewa-Valley-Highway-Tawonga-South-Vic-3698,45 Kiewa Valley Highway,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72232775,147.14795178
283-Simmonds-Creek-Road-Tawonga-South-Vic-3698,283 Simmonds Creek Road,Tawonga South,Vic,3698,Tawonga South,Vic,-36.75583034,147.14623026
8-Allamar-Court-Tawonga-South-Vic-3698,8 Allamar Court,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72408604,147.14752846
91-Glenbourn-Drive-Tawonga-South-Vic-3698,91 Glenbourn Drive,Tawonga South,Vic,3698,Tawonga South,Vic,-36.75114023,147.15960302
19-Wonnangatta-Avenue-Tawonga-South-Vic-3698,19 Wonnangatta Avenue,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73329522,147.15307037
5/1-Allamar-Court-Tawonga-South-Vic-3698,5/1 Allamar Court,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72335932,147.14596688
156-Kiewa-Valley-Highway-Tawonga-South-Vic-3698,156 Kiewa Valley Highway,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73066356,147.15430311
31-St-Bernard-Drive-Tawonga-South-Vic-3698,31 St Bernard Drive,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73394073,147.15305895
7-Myrtle-Street-Tawonga-South-Vic-3698,7 Myrtle Street,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73338731,147.1526638
79-St-Bernard-Drive-Tawonga-South-Vic-3698,79 St Bernard Drive,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73360336,147.14827034
11-St-Bernard-Drive-Tawonga-South-Vic-3698,11 St Bernard Drive,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73393909,147.15496908
18-Stewarts-Road-Tawonga-South-Vic-3698,18 Stewarts Road,Tawonga South,Vic,3698,Tawonga South,Vic,-36.7371237,147.15524249
11-Coolumbooka-Avenue-Tawonga-South-Vic-3698,11 Coolumbooka Avenue,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72690915,147.14920396
2144-Tawonga-Gap-Road-Tawonga-South-Vic-3698,2144 Tawonga Gap Road,Tawonga South,Vic,3698,Tawonga South,Vic,-36.71795029,147.14556905
13-Coolumbooka-Avenue-Tawonga-South-Vic-3698,13 Coolumbooka Avenue,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72679844,147.14910789
17-Fiddleback-Drive-Tawonga-South-Vic-3698,17 Fiddleback Drive,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72275458,147.14576582
9-Myrtle-Street-Tawonga-South-Vic-3698,9 Myrtle Street,Tawonga South,Vic,3698,Tawonga South,Vic,-36.73329856,147.1525497
37-Kiewa-Valley-Highway-Tawonga-South-Vic-3698,37 Kiewa Valley Highway,Tawonga South,Vic,3698,Tawonga South,Vic,-36.72164615,147.14764276
