agency_id,name,email,address_id,website,phone_number
IEMVZK,My Property Gem,admin@mypropertygem.com.au,PO-BOX-115-Tawonga-VIC-3697,http://www.gemmalutz.realestate,0417006963
ALAMOU,Alpine Valley Real Estate Pty Ltd - Mount Beauty,kim@alpinevalleyrealestate.com.au,7-Hollonds-Street-Mount-Beauty-VIC-3699,http://www.alpinevalleyrealestate.com.au/,03 5754 4999
EFSGQK,Mountain Creek Property - TAWONGA SOUTH,courtney@mountaincreekpm.com.au,"Shop-2,-215-Kiewa-Valley-Highway-Tawonga-South-VIC-3698",http://www.mountaincreekproperty.com.au,03 5714 9730
XEDSOU,Zirky Real Estate - Alpine,christa@zirkyrealestate.com.au,"WR-1-West-St-Falls,-17-Bogong-High-Plains-Road-Falls-Creek-VIC-3699",http://www.zirkyrealestate.com.au,0402 277 808
UWTDPS,Elders Real Estate Wodonga - Wodonga,wodongare@eldersrealestate.com.au,18-20-Stanley-Street-Wodonga-VIC-3690,http://www.elderswodonga.com.au,02 6024 5450
QDCILI,Brian Phegan Real Estate - Albury,brian@brianphegan.com.au,PO-Box-1414-Albury-NSW-2640,http://www.brianphegan.com.au,0418 578 079
PDMVKC,Four Peaks Real Estate - BRIGHT,office@fourpeaksrealestate.com.au,5/6-Anderson-Street-Bright-VIC-3741,http://www.fourpeaksrealestate.com.au,0357551249
DIMWGO,PRD Albury-Wodonga,office@prdalbury.com.au,"Suite-3,-Ground-Floor,-429-Swift-Street-Albury-NSW-2640",http://www.prd.com.au/albury,02 6021 0442
XWZMEL,Nutrien Harcourts Victoria -   ,jessie.arnold@nutrienharcourts.com,737-Bourke-St-Docklands-VIC-3008,http://nutrienharcourts.com.au,03 9209 2063
XDRBRI,Dickens Real Estate  - Bright ,enquiries@dickens.com.au,20-Ireland-St-Bright-VIC-3741,http://www.dickensrealestate.com.au/,03 5755 1307
KIVDKB,Minus The Agent -  AUSTRALIA,hello@minustheagent.com.au,41/464-480-Kent-Street-Sydney-NSW-2000,http://www.minustheagent.com.au,1300 79 71 70
VYGVPL,Elders - Albury (Rural),noel.furze@elders.com.au,297-Schubach-Street-Albury-NSW-2640,http://www.eldersalbury.com.au,02 6021 3355
MWXJCK,buymyplace,support@buymyplace.com.au,PO-Box-112-Scarborough-WA-6019,http://buymyplace.com.au,1300 003 726
XRWMYR,Myrtleford Property Group,rentals@myrtlefordpropertygroup.com,27A-Clyde-Street-Myrtleford-VIC-3737,http://www.myrtlefordpropertygroup.com,03 5752 2888
VFLTYD,Property Now - BRISBANE CITY,sales@propertynow.com.au,"Suite-3129,-29/97-Creek-Street-Brisbane-City-QLD-4000",http:///www.propertynow.com.au/,1300 815 051 
OPHBAD,McGrath - Albury/Wodonga,fomalburywodonga@mcgrath.com.au,609-Olive-Street-Albury-NSW-2640,http://https://www.mcgrath.com.au/offices/305-albury-wodonga,02 6041 4488
